guild,display_name,tile_number,tiles_in_guild,tile_name
Forge,Forge Covenant,1,8,Tile 1 · the mark's home
Forge,Forge Covenant,2,8,Tile 2 · a thing that fits a thing
Forge,Forge Covenant,3,8,Tile 3 · two parts, one fit · the gate
Forge,Forge Covenant,4,8,Tile 4 · the thing that moves
Forge,Forge Covenant,5,8,Tile 5 · borrowed and changed
Forge,Forge Covenant,6,8,Gate A · the cross-guild fit
Forge,Forge Covenant,7,8,Gate B · reverse engineer + replace
Forge,Forge Covenant,8,8,Boss fight · student proposed
Prism,Prism Order,1,10,Tile 1 · A Name Worth Keeping
Prism,Prism Order,2,10,Tile 2 · The Story Object
Prism,Prism Order,3,10,Tile 3 · Layers of Meaning · the gate
Prism,Prism Order,4,10,Tile 4 · Light and Shadow
Prism,Prism Order,5,10,Tile 5 · Borrowed and Changed
Prism,Prism Order,6,10,Tile 6A · The Archive
Prism,Prism Order,7,10,Tile 7A · Restore What Faded
Prism,Prism Order,8,10,Tile 6B · The Thing That Organizes
Prism,Prism Order,9,10,Tile 7B · A Place for Everything
Prism,Prism Order,10,10,What Deserves to Be Remembered?
Folded Path,Folded Path,1,8,Tile 1 · First Cut
Folded Path,Folded Path,2,8,Tile 2 · Made for Someone
Folded Path,Folded Path,3,8,Tile 3 · The Thing That Moves · the gate
Folded Path,Folded Path,4,8,Tile 4 · One Shirt, One Person
Folded Path,Folded Path,5,8,Tile 5 · Complicated and Beautiful
Folded Path,Folded Path,6,8,Tile 6 · Every Color in Its Place
Folded Path,Folded Path,7,8,The Readfield Book
Folded Path,Folded Path,8,8,The Most Beautiful Thing You Know How to Make
Silicon Covenant,Silicon Covenant,1,8,SIGNAL
Silicon Covenant,Silicon Covenant,2,8,LISTENER
Silicon Covenant,Silicon Covenant,3,8,HONEST MACHINE · the gate
Silicon Covenant,Silicon Covenant,4,8,WHEN AND
Silicon Covenant,Silicon Covenant,5,8,UNDER THE SURFACE
Silicon Covenant,Silicon Covenant,6,8,COMMISSION
Silicon Covenant,Silicon Covenant,7,8,FIELD WORK
Silicon Covenant,Silicon Covenant,8,8,YOUR CALL
Void Navigators,Void Navigators,1,8,Tile 1 · The mark's origin
Void Navigators,Void Navigators,2,8,Tile 2 · First cut for someone
Void Navigators,Void Navigators,3,8,Tile 3 · Inlay · the competence gate
Void Navigators,Void Navigators,4,8,Tile 4 · Three bears
Void Navigators,Void Navigators,5,8,Tile 5 · Restore or replace
Void Navigators,Void Navigators,6,8,Gate A · Joinery
Void Navigators,Void Navigators,7,8,Gate B · Imported 3D relief
Void Navigators,Void Navigators,8,8,Boss fight · Student proposed
